Valor,Fecha
34245.166666666664,2017-01-22T21:00:00Z
33015.333333333336,2017-01-22T22:00:00Z
30247.666666666668,2017-01-22T23:00:00Z
27190.833333333332,2017-01-23T00:00:00Z
25152.166666666668,2017-01-23T01:00:00Z
23858.666666666668,2017-01-23T02:00:00Z
23330.666666666668,2017-01-23T03:00:00Z
23309,2017-01-23T04:00:00Z
24013.666666666668,2017-01-23T05:00:00Z
27183.333333333332,2017-01-23T06:00:00Z
32182,2017-01-23T07:00:00Z
36056.5,2017-01-23T08:00:00Z
37441.5,2017-01-23T09:00:00Z
38422.833333333336,2017-01-23T10:00:00Z
38354.833333333336,2017-01-23T11:00:00Z
37769.833333333336,2017-01-23T12:00:00Z
37636.333333333336,2017-01-23T13:00:00Z
36353,2017-01-23T14:00:00Z
35870.666666666664,2017-01-23T15:00:00Z
35515.666666666664,2017-01-23T16:00:00Z
35589,2017-01-23T17:00:00Z
36927.166666666664,2017-01-23T18:00:00Z
38818.833333333336,2017-01-23T19:00:00Z
39126.333333333336,2017-01-23T20:00:00Z
38326.666666666664,2017-01-23T21:00:00Z
35517.666666666664,2017-01-23T22:00:00Z
32052,2017-01-23T23:00:00Z
29361.166666666668,2017-01-24T00:00:00Z
26930,2017-01-24T01:00:00Z
25626.333333333332,2017-01-24T02:00:00Z
24974.5,2017-01-24T03:00:00Z
24949.166666666668,2017-01-24T04:00:00Z
25379.666666666668,2017-01-24T05:00:00Z
27854.666666666668,2017-01-24T06:00:00Z
32822.166666666664,2017-01-24T07:00:00Z
36419.666666666664,2017-01-24T08:00:00Z
37625.666666666664,2017-01-24T09:00:00Z
38391.666666666664,2017-01-24T10:00:00Z
37984.5,2017-01-24T11:00:00Z
37292.5,2017-01-24T12:00:00Z
36892.666666666664,2017-01-24T13:00:00Z
35747.833333333336,2017-01-24T14:00:00Z
35047.833333333336,2017-01-24T15:00:00Z
34639.5,2017-01-24T16:00:00Z
34720.166666666664,2017-01-24T17:00:00Z
36281.5,2017-01-24T18:00:00Z
38566.833333333336,2017-01-24T19:00:00Z
38989.833333333336,2017-01-24T20:00:00Z
38201.5,2017-01-24T21:00:00Z
35478.166666666664,2017-01-24T22:00:00Z
31970,2017-01-24T23:00:00Z
29217,2017-01-25T00:00:00Z
26982.5,2017-01-25T01:00:00Z
25720.333333333332,2017-01-25T02:00:00Z
25106.166666666668,2017-01-25T03:00:00Z
24947,2017-01-25T04:00:00Z
25554.333333333332,2017-01-25T05:00:00Z
28132.833333333332,2017-01-25T06:00:00Z
33073,2017-01-25T07:00:00Z
36747.166666666664,2017-01-25T08:00:00Z
37909,2017-01-25T09:00:00Z
38582.833333333336,2017-01-25T10:00:00Z
38289.5,2017-01-25T11:00:00Z
37622.166666666664,2017-01-25T12:00:00Z
37423,2017-01-25T13:00:00Z
36179.166666666664,2017-01-25T14:00:00Z
35492.666666666664,2017-01-25T15:00:00Z
35173.5,2017-01-25T16:00:00Z
35371.5,2017-01-25T17:00:00Z
36855.333333333336,2017-01-25T18:00:00Z
38980.666666666664,2017-01-25T19:00:00Z
39247.833333333336,2017-01-25T20:00:00Z
38303,2017-01-25T21:00:00Z
35722.333333333336,2017-01-25T22:00:00Z
32409.333333333332,2017-01-25T23:00:00Z
29649.666666666668,2017-01-26T00:00:00Z
27444.833333333332,2017-01-26T01:00:00Z
26126.833333333332,2017-01-26T02:00:00Z
25476,2017-01-26T03:00:00Z
25239.666666666668,2017-01-26T04:00:00Z
25798.5,2017-01-26T05:00:00Z
28401.666666666668,2017-01-26T06:00:00Z
33197.833333333336,2017-01-26T07:00:00Z
36613.166666666664,2017-01-26T08:00:00Z
37850.666666666664,2017-01-26T09:00:00Z
38616.833333333336,2017-01-26T10:00:00Z
38488.833333333336,2017-01-26T11:00:00Z
38157.166666666664,2017-01-26T12:00:00Z
37966.833333333336,2017-01-26T13:00:00Z
36628.833333333336,2017-01-26T14:00:00Z
36163,2017-01-26T15:00:00Z
36081,2017-01-26T16:00:00Z
36472,2017-01-26T17:00:00Z
37755.166666666664,2017-01-26T18:00:00Z
39275.833333333336,2017-01-26T19:00:00Z
39294,2017-01-26T20:00:00Z
38343.166666666664,2017-01-26T21:00:00Z
35668.666666666664,2017-01-26T22:00:00Z
32434.166666666668,2017-01-26T23:00:00Z
29741.833333333332,2017-01-27T00:00:00Z
27421,2017-01-27T01:00:00Z
25910.833333333332,2017-01-27T02:00:00Z
25276.5,2017-01-27T03:00:00Z
25035,2017-01-27T04:00:00Z
25488.333333333332,2017-01-27T05:00:00Z
27912.166666666668,2017-01-27T06:00:00Z
32518.5,2017-01-27T07:00:00Z
35877.5,2017-01-27T08:00:00Z
37130.333333333336,2017-01-27T09:00:00Z
37918,2017-01-27T10:00:00Z
38094.833333333336,2017-01-27T11:00:00Z
37794.5,2017-01-27T12:00:00Z
37656,2017-01-27T13:00:00Z
36305,2017-01-27T14:00:00Z
35497.833333333336,2017-01-27T15:00:00Z
35192.666666666664,2017-01-27T16:00:00Z
35213.666666666664,2017-01-27T17:00:00Z
36045.833333333336,2017-01-27T18:00:00Z
